Pays;Indice_performance_logistique_2016;Population;IDH;Revenu_national_brut;production_co2;Importations - Quantité;Production;Disponibilité intérieure;Nourriture;Disponibilité alimentaire en quantité (kg/personne/an);Taux_de_change;Index_Maximum_Conectivité_maritime;Political_Stability;PIB_par_habitant
Afghanistan;1,835473;36296113;0,482;2085,487571;0,188995444;29;28;57;55;1,53;68,02690408;0;-2,8;530,1498626
Angola;2,133789;29816766;0,597;6861,575738;0,953168429;277;42;319;315;10,56;165,9159507;26,325;-0,33;2283,214233
Albanie;1,980952;2884169;0,802;12802,14831;1,838241795;38;13;47;47;16,36;119,1;4,845;0,38;4531,032207
Émirats Arabes Unis;4,069324;9487203;0,897;67667,50846;17,79568752;433;48;412;412;43,47;3,6725;71,0975;0,62;43063,96748
Argentine;2,856412;43937140;0,851;22996,67142;4,274395193;8;2161;1962;1856;42,24;16,56270693;32,7975;0,17;14613,03571
Arménie;2,216773;2944791;0,768;12541,16263;1,880133429;35;11;47;47;16,06;482,7163938;0;-0,62;4041,995072
Australie;3,816468;24584620;0,937;47085,22714;16,87035228;16;1269;1171;1171;47,65;1,304758077;33,7775;0,89;53934,15437
Autriche;4,07841;8819901;0,916;53665,02668;7,89112032;110;148;173;160;18,2;0,885205508;0;1,05;47429,15846
Belgique;4,053557;11419748;0,931;50904,68909;8,708432095;338;463;152;144;12,65;0,885205508;86,4825;0,43;44198,48239
Bénin;2,391474;11175198;0,53;3010,902854;0,620812267;123;18;161;161;14,4;580,6567496;17,425;0,03;1095,274459
Burkina Faso;2,668512;19193234;0,438;1967,634052;0,20516605;0;46;46;44;2,27;580,6567496;0;-0,93;711,1845439
Bangladesh;2,48;159685424;0,622;4339,489843;0,506893478;0;249;250;240;1,5;80,43754167;11,515;-1,26;1815,610191
Bulgarie;2,351053;7102444;0,808;20986,65463;6,699426282;108;107;157;157;22,06;1,735458333;6,76;0,33;8386,589202
Bahamas;2,721296;381755;0,825;34332,57146;5,489908449;24;6;26;16;43,17;1;28,6825;0,99;30708,98702
Bélarus;2,099684;9450231;0,817;17666,60161;6,361294237;21;463;265;264;27,98;1,932341667;0;-0,05;5785,534975
Bolivie;2,109668;11192855;0,708;8174,492977;2,105075068;1;533;429;403;36;6,91;0;-0,28;3280,008214
Brésil;3,110258;207833823;0,759;14253,07502;2,40941389;3;14201;9982;9982;48,03;3,191389446;34,8025;-0,42;9896,717511
Botswana;2,95539;2205080;0,722;16144,88027;3,201244399;3;5;7;7;3,39;10,34741667;0;1,02;6705,341062
